分析報告開始,分析報告結束,廣告組合名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,"30-50 / 東區中區 / 餐飲零售業",,,,,,1521,88,2.471216,1.546244,2026-03-27,進行中
2025-10-28,2026-05-29,"30-50 / 北屯74 / 電商自營/美食",,,,,,1791,55,2.229428,1.412944,2026-04-01,進行中
2025-10-28,2026-05-29,"28-45 / 洲際中清 / 科技業/年輕人",,,,,,1789,48,1.517067,1.33109,2026-04-01,進行中
2025-10-28,2026-05-29,"30-50 / 北屯74 / 上班族/運動娛樂",,,,,,707,17,1.420217,1.135674,2026-04-08,進行中
2025-10-28,2026-05-29,"40-60 / 北屯潭子 / 長輩/戶外活動(FB)",,,,,,658,24,2.5,1.325967,2026-04-08,進行中
2025-10-28,2026-05-29,"30-50 / 74星巴克 / 財顧/保險/銀行",,,,,,1058,22,1.785714,1.358324,2026-04-10,進行中
2025-10-28,2026-05-29,"28-45 / 十期 / 小家庭自營商",,,1,1150,actions:leadgen.other,1150,39,2.022822,1.340751,2026-04-10,進行中
2025-10-28,2026-05-29,"30-55 / 北屯 / 小學教師/心理學",,,,,,1096,31,2.37366,1.401288,2026-04-10,進行中
2025-10-28,2026-05-29,"28-45 / 北屯潭子 / 運動員/體育賽事",,,1,1131,actions:leadgen.other,1131,32,1.401664,1.232721,2026-04-10,進行中
2025-10-28,2026-05-29,"35-60 / 水湳北屯 / 中年興趣/品酒",,,,,,59,3,4.347826,1.095238,2026-04-13,進行中
2025-10-28,2026-05-29,"35-60 / 水湳西屯 / 醫護/理財/運動",,,,,,0,0,0,1,2026-04-13,進行中
2025-10-28,2026-05-29,"30-60/ 中科中清/ 傳產製造食品加工",1,,5,599.8,actions:leadgen.other,2999,103,3.025852,1.454701,2026-01-22,2026-02-01
2025-10-28,2026-05-29,"30-55 / 北屯西屯 / 行銷設計自由業",,1,,,,1346,31,2.910798,1.390339,2026-01-26,2026-02-06
